iter	Passed	Remaining
651	3820	2039
652	3825	2032
653	3831	2027
654	3837	2021
655	3842	2015
656	3848	2009
657	3853	2002
658	3859	1996
659	3865	1991
660	3870	1985
661	3876	1979
662	3882	1973
663	3888	1967
664	3893	1961
665	3899	1955
666	3905	1949
667	3911	1943
668	3916	1937
669	3921	1931
670	3927	1925
671	3932	1919
672	3938	1913
673	3943	1907
674	3949	1901
675	3954	1895
676	3960	1889
677	3965	1883
678	3970	1876
679	3974	1870
680	3980	1864
681	3985	1858
682	3989	1851
683	3995	1845
684	4000	1839
685	4005	1833
686	4010	1827
687	4015	1821
688	4021	1815
689	4026	1808
690	4030	1802
691	4035	1796
692	4042	1790
693	4048	1784
694	4053	1779
695	4060	1773
696	4065	1767
697	4071	1761
698	4077	1755
699	4083	1749
700	4088	1743
701	4094	1738
702	4099	1732
703	4105	1726
704	4111	1720
705	4116	1714
706	4122	1708
707	4128	1702
708	4133	1696
709	4138	1690
710	4144	1684
711	4149	1678
712	4155	1672
713	4161	1666
714	4166	1660
715	4172	1654
716	4178	1649
717	4184	1643
718	4189	1637
719	4195	1631
720	4200	1625
721	4206	1619
722	4212	1613
723	4218	1608
724	4223	1602
725	4228	1596
726	4234	1590
727	4240	1584
728	4245	1578
729	4251	1572
730	4257	1566
731	4262	1560
732	4268	1554
733	4274	1549
734	4280	1543
735	4285	1537
736	4292	1531
737	4297	1525
738	4302	1519
739	4308	1513
740	4313	1507
741	4319	1502
742	4326	1496
743	4332	1490
744	4337	1484
745	4343	1478
746	4349	1473
747	4355	1467
748	4360	1461
749	4366	1455
750	4372	1449
751	4377	1443
752	4383	1437
753	4389	1431
754	4394	1426
755	4400	1420
756	4406	1414
757	4411	1408
758	4416	1402
759	4422	1396
760	4428	1390
761	4433	1384
762	4439	1379
763	4445	1373
764	4450	1367
765	4456	1361
766	4462	1355
767	4468	1349
768	4474	1344
769	4479	1338
770	4485	1332
771	4491	1326
772	4497	1320
773	4503	1314
774	4509	1309
775	4515	1303
776	4521	1297
777	4526	1291
778	4531	1285
779	4537	1279
780	4541	1273
781	4547	1267
782	4551	1261
783	4557	1255
784	4562	1249
785	4567	1243
786	4572	1237
787	4577	1231
788	4582	1225
789	4588	1219
790	4593	1213
791	4598	1207
792	4603	1201
793	4609	1195
794	4615	1190
795	4621	1184
796	4627	1178
797	4632	1172
798	4639	1167
799	4644	1161
800	4650	1155
801	4656	1149
802	4662	1143
803	4667	1137
804	4673	1132
805	4679	1126
806	4685	1120
807	4691	1114
808	4696	1108
809	4702	1103
810	4707	1097
811	4713	1091
812	4719	1085
813	4725	1079
814	4730	1073
815	4736	1068
816	4742	1062
817	4747	1056
818	4753	1050
819	4758	1044
820	4764	1038
821	4770	1032
822	4775	1027
823	4781	1021
824	4787	1015
825	4793	1009
826	4798	1003
827	4804	998
828	4810	992
829	4816	986
830	4822	980
831	4828	974
832	4834	969
833	4839	963
834	4845	957
835	4851	951
836	4856	945
837	4862	939
838	4868	934
839	4873	928
840	4879	922
841	4885	916
842	4891	910
843	4897	905
844	4903	899
845	4908	893
846	4914	887
847	4920	882
848	4925	876
849	4931	870
850	4936	864
851	4941	858
852	4947	852
853	4953	846
854	4958	840
855	4963	835
856	4970	829
857	4975	823
858	4982	817
859	4988	812
860	4993	806
861	4999	800
862	5005	794
863	5010	788
864	5017	783
865	5022	777
866	5028	771
867	5034	765
868	5040	759
869	5046	754
870	5052	748
871	5058	742
872	5063	736
873	5069	730
874	5074	724
875	5080	719
876	5086	713
877	5091	707
878	5096	701
879	5102	695
880	5107	689
881	5112	683
882	5117	678
883	5122	672
884	5127	666
885	5133	660
886	5137	654
887	5142	648
888	5149	642
889	5154	637
890	5160	631
891	5166	625
892	5171	619
893	5177	613
894	5183	608
895	5188	602
896	5193	596
897	5199	590
898	5205	584
899	5211	579
900	5217	573
901	5222	567
902	5228	561
903	5234	555
904	5239	550
905	5245	544
906	5251	538
907	5257	532
908	5263	526
909	5268	521
910	5274	515
911	5279	509
912	5284	503
913	5290	497
914	5296	491
915	5301	486
916	5307	480
917	5313	474
918	5319	468
919	5325	463
920	5331	457
921	5337	451
922	5342	445
923	5348	439
924	5353	434
925	5359	428
926	5366	422
927	5371	416
928	5377	411
929	5383	405
930	5389	399
931	5394	393
932	5400	387
933	5406	382
934	5411	376
935	5417	370
936	5422	364
937	5428	358
938	5434	353
939	5440	347
940	5445	341
941	5450	335
942	5456	329
943	5462	324
944	5468	318
945	5473	312
946	5480	306
947	5486	300
948	5491	295
949	5498	289
950	5503	283
951	5509	277
952	5515	272
953	5520	266
954	5526	260
955	5532	254
956	5537	248
957	5543	243
958	5549	237
959	5555	231
960	5561	225
961	5567	219
962	5572	214
963	5579	208
964	5584	202
965	5590	196
966	5596	190
967	5602	185
968	5608	179
969	5613	173
970	5619	167
971	5624	162
972	5630	156
973	5636	150
974	5641	144
975	5647	138
976	5652	133
977	5657	127
978	5663	121
979	5667	115
980	5672	109
981	5678	104
982	5682	98
983	5688	92
984	5693	86
985	5698	80
986	5703	75
987	5708	69
988	5714	63
989	5720	57
990	5726	52
991	5731	46
992	5737	40
993	5744	34
994	5750	28
995	5755	23
996	5761	17
997	5766	11
998	5772	5
999	5778	0
